#-----------------------------------------------------------------------------
# Date d'extraction : 16/07/2019 - 07h16 loc.
#-----------------------------------------------------------------------------
# Producteur : DCLIM
# Experience : CLIMSEC
# Modele     : ARPEGE_RETIC
# Scenario :
#     A2 : scenario A2
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : saisonnier
#                  (1 - hiver, 2 - printemps, 3 - été, 4 - automne)
#-----------------------------------------------------------------------------
# Indices : 
#     NORSSWI : Intégration de Indicateur sècheresse d'humidité des sols (null)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Période;Saison;NORSSWI;
#-----------------------------------------------------------------------------
1643;42.349;2.5786;A2;H1;4;-0.52;
1644;42.3488;2.6754;A2;H1;1;-0.63;
1644;42.3488;2.6754;A2;H1;2;-0.37;
1644;42.3488;2.6754;A2;H1;3;-0.46;
1644;42.3488;2.6754;A2;H1;4;-0.56;
1705;42.1656;8.5683;A2;H1;1;-1.66;
1705;42.1656;8.5683;A2;H1;2;-0.95;
1705;42.1656;8.5683;A2;H1;3;-0.54;
1705;42.1656;8.5683;A2;H1;4;-0.9;
1706;42.1599;8.6645;A2;H1;1;-1.74;
1706;42.1599;8.6645;A2;H1;2;-0.8;
1706;42.1599;8.6645;A2;H1;3;-0.42;
1706;42.1599;8.6645;A2;H1;4;-1.01;
1707;42.1541;8.7607;A2;H1;1;-1.56;
1707;42.1541;8.7607;A2;H1;2;-0.55;
1707;42.1541;8.7607;A2;H1;3;-0.34;
1707;42.1541;8.7607;A2;H1;4;-0.88;
1708;42.1482;8.8569;A2;H1;1;-1.49;
1708;42.1482;8.8569;A2;H1;2;-0.5;
1708;42.1482;8.8569;A2;H1;3;-0.22;
1708;42.1482;8.8569;A2;H1;4;-0.83;
1709;42.1422;8.953;A2;H1;1;-1.04;
1709;42.1422;8.953;A2;H1;2;-0.36;
1709;42.1422;8.953;A2;H1;3;-0.32;
1709;42.1422;8.953;A2;H1;4;-0.81;
1710;42.1361;9.0491;A2;H1;1;-1.56;
1710;42.1361;9.0491;A2;H1;2;-1.14;
1710;42.1361;9.0491;A2;H1;3;-0.6;
1710;42.1361;9.0491;A2;H1;4;-1.07;
1711;42.1299;9.1452;A2;H1;1;-1.78;
1711;42.1299;9.1452;A2;H1;2;-0.65;
1711;42.1299;9.1452;A2;H1;3;-0.45;
1711;42.1299;9.1452;A2;H1;4;-1.12;
1712;42.1237;9.2413;A2;H1;1;-1.52;
1712;42.1237;9.2413;A2;H1;2;-0.54;
1712;42.1237;9.2413;A2;H1;3;-0.53;
1712;42.1237;9.2413;A2;H1;4;-1.14;
1713;42.1173;9.3374;A2;H1;1;-1.3;
1713;42.1173;9.3374;A2;H1;2;-0.28;
1713;42.1173;9.3374;A2;H1;3;-0.2;
1713;42.1173;9.3374;A2;H1;4;-0.29;
1714;42.1109;9.4334;A2;H1;1;-0.82;
1714;42.1109;9.4334;A2;H1;2;-0.28;
1714;42.1109;9.4334;A2;H1;3;-0.24;
1714;42.1109;9.4334;A2;H1;4;-0.27;
1715;42.1044;9.5295;A2;H1;1;-0.77;
1715;42.1044;9.5295;A2;H1;2;-0.35;
1715;42.1044;9.5295;A2;H1;3;-0.27;
1715;42.1044;9.5295;A2;H1;4;-0.32;
1780;42.4206;1.9973;A2;H1;1;-0.5;
1780;42.4206;1.9973;A2;H1;2;-0.58;
1780;42.4206;1.9973;A2;H1;3;-0.18;
1780;42.4206;1.9973;A2;H1;4;-0.16;
1781;42.4208;2.0942;A2;H1;1;-0.47;
1781;42.4208;2.0942;A2;H1;2;-0.68;
1781;42.4208;2.0942;A2;H1;3;-0.54;
1781;42.4208;2.0942;A2;H1;4;-0.26;
1782;42.421;2.1912;A2;H1;1;-0.27;
1782;42.421;2.1912;A2;H1;2;-0.38;
1782;42.421;2.1912;A2;H1;3;-0.64;
1782;42.421;2.1912;A2;H1;4;-0.38;
1784;42.4211;2.3851;A2;H1;1;-1.02;
1784;42.4211;2.3851;A2;H1;2;-1;
1784;42.4211;2.3851;A2;H1;3;-0.52;
1784;42.4211;2.3851;A2;H1;4;-0.47;
1785;42.421;2.482;A2;H1;1;-0.68;
1785;42.421;2.482;A2;H1;2;-0.63;
1785;42.421;2.482;A2;H1;3;-0.46;
1785;42.421;2.482;A2;H1;4;-0.51;
1786;42.4209;2.5789;A2;H1;1;-0.64;
1786;42.4209;2.5789;A2;H1;2;-0.38;
1786;42.4209;2.5789;A2;H1;3;-0.47;
1786;42.4209;2.5789;A2;H1;4;-0.56;
1787;42.4206;2.6759;A2;H1;1;-0.69;
1787;42.4206;2.6759;A2;H1;2;-0.46;
1787;42.4206;2.6759;A2;H1;3;-0.47;
1787;42.4206;2.6759;A2;H1;4;-0.55;
1788;42.4202;2.7728;A2;H1;1;-0.64;
1788;42.4202;2.7728;A2;H1;2;-0.39;
1788;42.4202;2.7728;A2;H1;3;-0.47;
1788;42.4202;2.7728;A2;H1;4;-0.56;
1849;42.2315;8.6723;A2;H1;1;-1.45;
1849;42.2315;8.6723;A2;H1;2;-0.54;
1849;42.2315;8.6723;A2;H1;3;-0.3;
1849;42.2315;8.6723;A2;H1;4;-1.04;
1850;42.2256;8.7686;A2;H1;1;-1.37;
1850;42.2256;8.7686;A2;H1;2;-0.32;
1850;42.2256;8.7686;A2;H1;3;-0.11;
1850;42.2256;8.7686;A2;H1;4;-0.76;
1851;42.2197;8.8649;A2;H1;1;-1.7;
1851;42.2197;8.8649;A2;H1;2;-1.2;
1851;42.2197;8.8649;A2;H1;3;-0.37;
1851;42.2197;8.8649;A2;H1;4;-0.92;
1852;42.2137;8.9611;A2;H1;1;-1.36;
1852;42.2137;8.9611;A2;H1;2;-2.18;
1852;42.2137;8.9611;A2;H1;3;-0.83;
1852;42.2137;8.9611;A2;H1;4;-1.08;
1853;42.2076;9.0574;A2;H1;1;-0.8;
1853;42.2076;9.0574;A2;H1;2;-1.69;
1853;42.2076;9.0574;A2;H1;3;-0.38;
1853;42.2076;9.0574;A2;H1;4;-1.02;
1854;42.2015;9.1536;A2;H1;1;-1.73;
1854;42.2015;9.1536;A2;H1;2;-0.55;
1854;42.2015;9.1536;A2;H1;3;-0.46;
1854;42.2015;9.1536;A2;H1;4;-1.15;
1855;42.1952;9.2498;A2;H1;1;-1.11;
1855;42.1952;9.2498;A2;H1;2;-0.6;
1855;42.1952;9.2498;A2;H1;3;-0.19;
1855;42.1952;9.2498;A2;H1;4;-0.73;
1856;42.1889;9.346;A2;H1;1;-1.54;
1856;42.1889;9.346;A2;H1;2;-0.31;
1856;42.1889;9.346;A2;H1;3;-0.2;
1856;42.1889;9.346;A2;H1;4;-0.28;
1857;42.1824;9.4421;A2;H1;1;-1.89;
1857;42.1824;9.4421;A2;H1;2;-0.32;
1857;42.1824;9.4421;A2;H1;3;-0.34;
1857;42.1824;9.4421;A2;H1;4;-0.28;
1918;42.4897;1.5116;A2;H1;1;-0.75;
1918;42.4897;1.5116;A2;H1;2;-0.89;
1918;42.4897;1.5116;A2;H1;3;-0.55;
1918;42.4897;1.5116;A2;H1;4;-0.4;
1919;42.4905;1.6087;A2;H1;1;-0.31;
1919;42.4905;1.6087;A2;H1;2;-0.92;
1919;42.4905;1.6087;A2;H1;3;-0.7;
1919;42.4905;1.6087;A2;H1;4;-0.32;
1920;42.4911;1.7057;A2;H1;1;-0.02;
1920;42.4911;1.7057;A2;H1;2;-0.18;
1920;42.4911;1.7057;A2;H1;3;-0.47;
1920;42.4911;1.7057;A2;H1;4;-0.22;
1921;42.4916;1.8028;A2;H1;1;-0.84;
1921;42.4916;1.8028;A2;H1;2;-1.18;
1921;42.4916;1.8028;A2;H1;3;-0.88;
1921;42.4916;1.8028;A2;H1;4;-0.39;
1922;42.4921;1.8998;A2;H1;1;-0.5;
1922;42.4921;1.8998;A2;H1;2;-0.62;
1922;42.4921;1.8998;A2;H1;3;-0.42;
